"dt","aircraft_type_id","qty","qty2"
"2024-09-05 00:00:00",2,35,"1045"
"2024-09-05 00:00:00",362,1,"9"
"2025-09-18 00:00:00",402,10,"485"
"2024-09-12 00:00:00",3,2,"459"
"2025-09-25 00:00:00",3,8,"1245"
"2025-06-19 00:00:00",2,31,"1377"
"2025-09-25 00:00:00",342,7,"1755"
"2025-09-25 00:00:00",402,7,"573"
"2025-10-02 00:00:00",2,16,"1085"
"2025-10-02 00:00:00",342,2,"441"
"2025-01-09 00:00:00",3,0,"0"
"2025-01-23 00:00:00",3,1,"105"
"2024-09-19 00:00:00",2,32,"1256"
"2024-04-11 00:00:00",3,2,"509"
"2025-02-13 00:00:00",3,2,"360"
"2024-09-26 00:00:00",3,1,"189"
"2025-01-02 00:00:00",342,8,"1983"
"2024-04-18 00:00:00",2,20,"713"
"2024-04-25 00:00:00",2,9,"349"
"2024-04-25 00:00:00",362,2,"24"
"2024-05-02 00:00:00",2,23,"588"
"2024-10-03 00:00:00",2,9,"290"
"2024-05-09 00:00:00",342,5,"732"
"2024-05-16 00:00:00",342,4,"1030"
"2024-05-16 00:00:00",362,12,"688"
"2024-05-23 00:00:00",2,34,"1266"
"2024-05-30 00:00:00",2,21,"635"
"2024-06-06 00:00:00",342,9,"1413"
"2024-06-06 00:00:00",362,2,"31"
"2024-06-13 00:00:00",342,7,"974"
"2024-06-20 00:00:00",2,43,"1489"
"2024-06-27 00:00:00",342,6,"1373"
"2024-10-10 00:00:00",342,4,"562"
"2024-10-10 00:00:00",3,1,"218"
"2024-07-11 00:00:00",2,31,"1114"
"2024-07-11 00:00:00",362,1,"12"
"2024-07-25 00:00:00",342,4,"787"
"2024-07-25 00:00:00",3,4,"1039"
"2024-08-01 00:00:00",342,8,"1340"
"2024-01-11 00:00:00",342,4,"871"
"2024-01-11 00:00:00",3,1,"192"
"2024-08-01 00:00:00",362,4,"370"
"2024-01-11 00:00:00",2,20,"527"
"2024-01-18 00:00:00",3,6,"1307"
"2024-01-18 00:00:00",2,29,"1075"
"2024-08-08 00:00:00",362,2,"249"
"2024-01-25 00:00:00",362,1,"19"
"2024-01-25 00:00:00",3,3,"611"
"2024-01-25 00:00:00",2,20,"716"
"2024-08-15 00:00:00",342,6,"1080"
"2024-02-01 00:00:00",342,1,"273"
"2024-08-22 00:00:00",2,32,"1208"
"2024-08-29 00:00:00",2,39,"1354"
"2024-02-01 00:00:00",2,6,"235"
